Organisationsid;Organisationsnummer;Organisationstyp;Giltighetstid;Kortnamn (sv);Kortnamn (en);Långnamn (sv);Långnamn (en);Webbadress
OD-148-1;013146;Avdelning;2018-07-01 - ;Svenskt NMR centrum;Swedish NMR Centre;Svenskt NMR-centrum vid GU;Swedish NMR Centre;www.nmr.gu.se
OD-1-856;013150;Institution;2015-07-01 - ;Ins f marina vetenskaper;Department of Marine Sciences;Institutionen för marina vetenskaper;Department of Marine Sciences;
OD-76-1;013157;Avdelning;2018-01-01 - ;Kristineberg Center;Kristineberg Center;Kristineberg Center för marin forskning och innovation;Kristineberg Center for Marine Research and Innovation;
OD-656-1;013158;Avdelning;2024-11-01 - ;Skagerak;Skagerak;Skagerak Facility;Skagerak Facility;https://www.gu.se/skagerak
OD-77-1;013159;Avdelning;2018-01-01 - ;Tjärnö;Tjärnö;Tjärnö marina laboratorium;Tjärnö Marine Laboratory;
OD-662-4;013721;Institution;2025-01-01 - ;Inst f data- och informationsteknik;Dep of Computer Science and Engineering;Institutionen för data- och informationsteknik;Department of Computer Science and Engineering;www.chalmers.se/sv/institutioner/cse
OD-662-5;013722;Avdelning;2025-01-01 - ;Datorsystem;Computer Systems;Datorsystem;Computer Systems;www.chalmers.se/sv/institutioner/cse
OD-662-6;013723;Avdelning;2025-01-01 - ;Nätverk och system (NS);Network and Systems (NS);Nätverk och system (NS);Network and Systems (NS);www.chalmers.se/sv/institutioner/cse
OD-662-7;013724;Avdelning;2025-01-01 - ;Embedded Systems and Graphics;Embedded Systems and Graphics;Embedded Electronics Systems and Computer Graphics (EEG);Embedded Electronics Systems and Computer Graphics (EEG);www.chalmers.se/sv/institutioner/cse
OD-662-8;013726;Avdelning;2025-01-01 - ;Interaktionsdesign (IxD);Interaction Design (IxD);Interaktionsdesign (IxD);Interaction Design (IxD);www.chalmers.se/sv/institutioner/cse
OD-662-9;013728;Avdelning;2025-01-01 - ;Formella metoder (FM);Formal Methods (FM);Formella metoder (FM);Formal Methods (FM);www.chalmers.se/sv/institutioner/cse
OD-662-10;013729;Avdelning;2025-01-01 - ;Funktionell programmering (FP);Functional Programming (FP);Funktionell programmering (FP);Functional Programming (FP);www.chalmers.se/sv/institutioner/cse
OD-662-11;013730;Avdelning;2025-01-01 - ;Informationssäkerhet (iSec);Information Security (iSec);Informationssäkerhet (iSec);Information Security (iSec);www.chalmers.se/sv/institutioner/cse
OD-662-12;013731;Avdelning;2025-01-01 - ;Software Engineering 1 (SE1);Software Engineering 1 (SE1);Software Engineering 1 (SE1);Software Engineering 1 (SE1);www.chalmers.se/sv/institutioner/cse
OD-662-13;013733;Avdelning;2025-01-01 - ;Software Engineering 2 (SE2);Software Engineering 2 (SE2);Software Engineering 2 (SE2);Software Engineering 2 (SE2);www.chalmers.se/sv/institutioner/cse
OD-662-14;013734;Avdelning;2025-01-01 - ;Logik och typer (LT);Logic and Types (LT);Logik och typer (LT);Logic and Types (LT);www.chalmers.se/sv/institutioner/cse
OD-662-15;013735;Avdelning;2025-01-01 - ;Data Science och AI (DSAI 1);Data Science och AI (DSAI 1);Data Science och AI (DSAI 1);Data Science och AI (DSAI 1);www.chalmers.se/sv/institutioner/cse
OD-662-16;013736;Avdelning;2025-01-01 - ;Data Science och AI (DSAI 2);Data Science och AI (DSAI 2);Data Science och AI (DSAI 2);Data Science och AI (DSAI 2);www.chalmers.se/sv/institutioner/cse
OD-662-17;013737;Avdelning;2025-01-01 - ;Data Science och AI (DSAI 3);Data Science och AI (DSAI 3);Data Science och AI (DSAI 3);Data Science och AI (DSAI 3);www.chalmers.se/sv/institutioner/cse
OD-662-18;013738;Avdelning;2025-01-01 - ;Data Science och AI (DSAI 4);Data Science och AI (DSAI 4);Data Science och AI (DSAI 4);Data Science och AI (DSAI 4);www.chalmers.se/sv/institutioner/cse
OD-662-1;013750;Institution;2025-01-01 - ;Institutionen för tillämpad IT;Department of Applied IT;Institutionen för tillämpad informationsteknologi;Department of Applied Information Technology;https://www.gu.se/tillampad-informationsteknologi
